uid, format_version, puid, format, mimetype, size, creating_application_name, lastmodified, created, checksum_md5, lastmodified_fs, original, wellformed, valid, byteorder, title, charset, author, compression_scheme, pagecount, markupbasis, is_tagged, image_width, has_outline, markupBasisVersion, has_annotations, image_height, is_rightsmanaged, is_protected, has_forms, colorspace, YCbCrSubSampling, sampling_frequency_unit, sampling_frequency_x, sampling_frequency_y, bitspersample, samplesperpixel, lightsource, referenceBlackWhite, orientation, scanner_softwarename, linebreak, icc_profile_name, icc_profile_version, message, bit_depth, samplerate, channels, audio_dataencoding, offset, language, wordcount, charactercount, tablecount, graphicsCount, 
http://demo.roda-community.org/roda-core/get/roda:173/F5, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:08:20 CEST 2012, , ed9cadb133f6934842a94f5b927d2dc6, Mon Jul 02 11:08:20 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:173/F2, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:08:06 CEST 2012, , 51d71209d965500c065e61d89d9f0479, Mon Jul 02 11:08:06 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:173/F4, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:08:15 CEST 2012, , 2357e3f640542ffcd43294f22b27b338, Mon Jul 02 11:08:15 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F1, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 277569, , Mon Jul 02 11:07:22 CEST 2012, , d42de7b269d06f6441e03d5f65efa985, Mon Jul 02 11:07:22 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F0, 1.0, fmt/101, Extensible Markup Language, text/xml, 1426, , Mon Jul 02 11:07:19 CEST 2012, , 02ebd38a7b68d7d89b3fd7b7bef9581e, Mon Jul 02 11:07:19 CEST 2012, true, true, true, , , UTF-8, , , , XML, , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F10, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 264731, , Mon Jul 02 11:07:25 CEST 2012, , b0d22af9619d2d3378f46a0ded8416eb, Mon Jul 02 11:07:25 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F2, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 287969, , Mon Jul 02 11:07:28 CEST 2012, , 25c497fa5cbf54bdbd870ff70be43255, Mon Jul 02 11:07:28 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F3, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 151959, , Mon Jul 02 11:07:31 CEST 2012, , 8346aaa383623b5721ad5f1ab3c86384, Mon Jul 02 11:07:31 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1024, , , , 768, , , , YCbCr, 2 2, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F4, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 151959, , Mon Jul 02 11:07:34 CEST 2012, , 8346aaa383623b5721ad5f1ab3c86384, Mon Jul 02 11:07:34 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1024, , , , 768, , , , YCbCr, 2 2, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F5, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 315584, , Mon Jul 02 11:07:38 CEST 2012, , 7aec441548718a6761190e730cac5523, Mon Jul 02 11:07:38 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F8, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 147149, , Mon Jul 02 11:07:48 CEST 2012, , c05a40690e02e333a71a4cf31012173e, Mon Jul 02 11:07:48 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1024, , , , 768, , , , YCbCr, 2 2, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F9, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 314104, , Mon Jul 02 11:07:51 CEST 2012, , d681d863415e4ad9c8a76eaa1031c0ff, Mon Jul 02 11:07:51 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F6, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 332479, , Mon Jul 02 11:07:42 CEST 2012, , ee6de124cf22d4409cfac0494c84abcf, Mon Jul 02 11:07:42 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:180/F0, 1.0, fmt/101, Extensible Markup Language, text/xml, 1426, , Mon Jul 02 11:06:21 CEST 2012, , 02ebd38a7b68d7d89b3fd7b7bef9581e, Mon Jul 02 11:06:21 CEST 2012, false, true, true, , , UTF-8, , , , XML, , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:177/F7, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 297470, , Mon Jul 02 11:07:45 CEST 2012, , 9bee80ee456afe8c859d9e43c5468e53, Mon Jul 02 11:07:45 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:180/F10, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:06:30 CEST 2012, , eca2c157459b036949998a939c1d8d57, Mon Jul 02 11:06:30 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:180/F1, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3939357, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:06:25 CEST 2012, , b0d8d27bb02566e9531de86464eb3713, Mon Jul 02 11:06:25 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
